Question Number,Subject,Chapter,Image Path
510,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_443.png
511,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_444.png
512,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_445.png
513,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_446.png
514,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_449.png
515,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_450.png
516,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_451.png
517,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_453.png
518,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_454.png
519,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_465.png
520,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_467.png
521,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_469.png
522,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_471.png
523,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_472.png
524,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_474.png
525,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_476.png
526,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_477.png
527,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_478.png
528,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_480.png
529,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_481.png
530,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_482.png
531,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_487.png
532,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_491.png
533,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_499.png
534,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_500.png
535,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_501.png
536,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_502.png
503,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_503.png
570,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_558.png
571,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_559.png
572,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_560.png
573,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_561.png
574,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_562.png
575,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_563.png
576,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_564.png
577,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_565.png
578,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_566.png
579,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_567.png
580,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_568.png
592,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_581.png
593,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_582.png
594,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_583.png
595,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_584.png
596,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_585.png
597,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_586.png
598,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_587.png
599,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_588.png
600,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_589.png
601,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_590.png
609,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_602.png
610,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_603.png
611,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_604.png
612,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_605.png
613,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_606.png
614,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_607.png
624,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_615.png
625,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_616.png
626,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_617.png
627,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_618.png
628,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_619.png
629,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_620.png
630,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_622.png
635,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_631.png
636,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_632.png
637,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_633.png
641,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_638.png
642,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_639.png
646,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_643.png
647,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_644.png
655,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_648.png
656,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_649.png
657,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_650.png
658,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_652.png
663,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_659.png
664,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_660.png
665,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_661.png
662,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_662.png
669,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_666.png
670,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_667.png
679,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_671.png
680,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_672.png
681,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_673.png
682,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_674.png
683,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_675.png
684,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_676.png
685,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_677.png
692,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_686.png
693,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_687.png
694,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_688.png
695,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_689.png
696,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_690.png
702,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_697.png
703,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_698.png
704,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_699.png
705,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_700.png
710,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_706.png
711,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_707.png
712,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_708.png
717,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_713.png
718,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_714.png
719,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_715.png
720,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_720.png
731,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_721.png
732,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_722.png
733,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_724.png
734,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_725.png
735,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_726.png
736,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_729.png
746,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_737.png
747,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_740.png
748,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_741.png
749,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_742.png
750,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_743.png
751,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_744.png
752,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_752.png
758,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_753.png
759,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_754.png
764,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_760.png
770,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_765.png
771,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_767.png
774,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_772.png
789,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_777.png
790,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_778.png
791,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_779.png
792,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_780.png
793,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_781.png
794,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_782.png
795,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_783.png
796,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_784.png
797,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_785.png
798,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_786.png
799,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_787.png
807,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_800.png
808,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_801.png
809,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_802.png
810,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_803.png
811,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_804.png
812,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_805.png
817,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_813.png
818,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_814.png
819,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_815.png
828,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_820.png
829,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_821.png
830,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_822.png
831,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_823.png
832,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_824.png
833,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_825.png
834,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_826.png
841,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_835.png
842,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_836.png
843,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_837.png
844,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_838.png
845,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_839.png
851,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_849.png
858,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_852.png
859,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_853.png
860,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_854.png
861,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_855.png
862,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_856.png
866,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_863.png
867,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_864.png
870,Chemistry,REDOX EQUIVALENT,../Screenshots/Chemistry/REDOX EQUIVALENT\question_868.png
8,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_1.png
9,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_2.png
10,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_3.png
11,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_4.png
12,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_5.png
13,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_6.png
20,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_14.png
21,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_15.png
22,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_16.png
23,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_17.png
24,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_18.png
32,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_25.png
33,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_26.png
34,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_27.png
35,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_28.png
36,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_29.png
37,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_30.png
44,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_38.png
45,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_39.png
46,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_40.png
47,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_41.png
48,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_42.png
54,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_49.png
55,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_50.png
56,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_51.png
57,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_52.png
62,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_58.png
63,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_59.png
64,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_60.png
70,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_65.png
71,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_66.png
72,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_67.png
73,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_68.png
82,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_74.png
83,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_75.png
84,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_76.png
85,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_77.png
86,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_78.png
87,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_79.png
88,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_80.png
92,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_89.png
93,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_90.png
103,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_94.png
104,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_95.png
105,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_96.png
106,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_97.png
107,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_98.png
108,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_99.png
109,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_100.png
110,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_101.png
121,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_111.png
122,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_112.png
123,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_113.png
124,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_114.png
125,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_115.png
126,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_116.png
127,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_117.png
128,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_118.png
129,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_119.png
138,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_130.png
139,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_131.png
140,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_132.png
141,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_133.png
142,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_134.png
143,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_135.png
144,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_136.png
158,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_145.png
159,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_146.png
160,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_147.png
161,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_148.png
162,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_149.png
163,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_150.png
164,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_151.png
165,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_152.png
166,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_153.png
167,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_154.png
168,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_155.png
169,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_156.png
174,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_170.png
175,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_171.png
176,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_172.png
183,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_177.png
184,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_178.png
185,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_179.png
186,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_181.png
191,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_187.png
192,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_188.png
193,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_189.png
190,Chemistry,S-BLOCK ELEMENTS,../Screenshots/Chemistry/S-BLOCK ELEMENTS\question_190.png
8,Chemistry,Solid State,../Screenshots/Chemistry/Solid State\question_1.png
9,Chemistry,Solid State,../Screenshots/Chemistry/Solid State\question_3.png
10,Chemistry,Solid State,../Screenshots/Chemistry/Solid State\question_4.png
11,Chemistry,Solid State,../Screenshots/Chemistry/Solid State\question_5.png
12,Chemistry,Solid State,../Screenshots/Chemistry/Solid State\question_6.png
23,Chemistry,Solid State,../Screenshots/Chemistry/Solid State\question_13.png
24,Chemistry,Solid State,../Screenshots/Chemistry/Solid State\question_14.png
25,Chemistry,Solid State,../Screenshots/Chemistry/Solid State\question_15.png
